1701,12,2465,6839,8,357,214,895,1245,4046,1931,1656,42,3243,73,732,469,266,69,181,361,9820,415,570,2832,38,2466,926,7301,43,5951,38,21,6269,1,194,743,1078,345,967,455,956,292,382,41,118,6233,126,850,157,1442,2,995,71,584,51,258,248,3464,289,121,495,17,1153,6,1029,6,1409,85,159,38,16,1456,354,1573,580,493,1044,1005,112,88,437,40,5,3,1626,579,35,784,1253,562,2364,35,433,3,123522,422,322,5206,3639
10075,200515,53933,62287,504101,674339,105585,55344,92880,4144,47661,38015,4089,2321,246481,147,467,972,3722,35292,5393,23754,33500,31803,15737,2664,1269,197629,17323,5945,25599,180432,28807,876,58651,62685,168244,610255,94250,3155,20603,31491,2090,154609,246665,13822,22884,149314,4033,23052,224643,2635,6014,53866,216,175075,21762,46868,18368,87872,21660,3237,1041,801,9081,64711,56666,21096,179478,227,25619,237956,21655,181731,34459,585753,2102,33917,59424,52889,46417,2896,21899,217526,59223,37468,1475051,37447,148438,69871,6726,33888,166789,8038,1695,176675,24078,154247,26042,12999
55160,57523,309607,1835,107,52646,1,234484,64,19,4412,64427,151309,39897,37769,19,2668,25,3,126485,24,1779545,6523,144391,141670,107,106,2941,1360,138110,3094,49993,2783,2720,1,197018,50204,3,60,2689,2027667,14,961,135560,44245,45860,22,45933,96,2771,39172,50843,138022,46059,1,44726,965,44753,130913,39973,4376,1935149,4288,1209,1006,1820500,20,2903,3010,1067,2853,4457,1,2009538,111,1971139,20,183603,3,984,0,126694,2607,119475,36909,187,715,4,4390,1000,133151,38776,969,862,2,44564,2779,124102,930,132007
1315,158,1403,1414,1290,283,21,6192,180,1038,100,894,624,23,3294,10,136,64,56,1263,84,4713,1331,255,30,669,27,1195,10837,158,28,2958,224,1957,630,805,139,232,11,976,23,1006,72,29,1022,51,193,142,138,144,128,144,40,144,197,27,108,108,31,197,87,66,661,52,27,28,149,9834,217,63,58,423,4630,24,198,799,19,129,181,775,11,26,1338,11,94,115,3180,88,3597,2984,229,432,23,851,232,15,937,33,2768,28
2341,708,1047,289,3996,20450,4631,8606,251,1005,113,3590,327,1269,1559,285,94,14,16466,6317,3513,8332,3029,1210,296,24,6439,1782,144,71765,3973,76,3712,67,1168,3866,738,68195,1350,1662,4194,3509,15814,5487,925,385,317,191,303,49,3607,5817,204,1183,1341,488,126,4249,1268,18440,14020,6718,16187,3542,4306,824,3568,1556,34,294,17089,1461,5639,367,16839,456,633,90,1130,63,1584,185,6800,3288,86,807,5253,2982,1777,1,8212,739,1016,84,1222,1484,1546,1119,187,2277
